973	215	182
974	215	194
975	215	201
976	215	222
977	215	226
978	215	273
979	215	334
980	215	341
981	215	363
982	215	364
983	216	192
984	216	220
985	216	224
986	216	237
987	216	285
988	216	290
989	216	312
990	216	326
991	216	355
992	216	361
993	217	197
994	217	199
995	217	203
996	217	204
997	217	214
998	217	243
999	217	246
1000	217	248
1001	217	305
1002	217	316
1003	217	318
1004	217	321
1005	217	416
1006	218	189
1007	218	194
1008	218	206
1009	218	209
1010	218	212
1011	218	233
1012	218	296
1013	218	339
1014	218	343
1015	218	348
1016	218	376
1017	218	388
1018	219	186
1019	219	205
1020	219	206
1021	219	229
1022	219	236
1023	219	308
1024	219	352
1025	219	367
1026	220	199
1027	220	201
1028	220	207
1029	220	216
1030	220	242
1031	220	243
1032	220	285
1033	220	330
1034	220	356
1035	220	394
1036	220	396
1037	221	191
1038	221	197
1039	221	201
1040	221	209
1041	221	234
1042	221	239
1043	221	243
1044	221	291
1045	221	299
1046	221	328
1047	221	337
1048	221	383
1049	221	398
1050	222	188
1051	222	207
1052	222	211
1053	222	215
1054	222	238
1055	222	294
1056	222	346
1057	222	353
1058	222	364
1059	223	192
1060	223	196
1061	223	208
1062	223	209
1063	223	234
1064	223	241
1065	223	307
1066	223	333
1067	223	336
1068	223	360
1069	223	390
1070	224	198
1071	224	208
1072	224	210
1073	224	216
1074	224	231
1075	224	240
1076	224	312
1077	224	319
1078	224	325
1079	224	345
1080	224	355
1081	224	399
1082	225	193
1083	225	200
1084	225	207
1085	225	208
1086	225	234
1087	225	238
1088	225	245
1089	225	303
1090	225	329
1091	225	365
1092	225	389
1093	226	182
1094	226	195
1095	226	201
1096	226	202
1097	226	215
1098	226	232
1099	226	239
1100	226	242
1101	226	298
1102	226	334
1103	226	373
1104	226	378
1105	226	393
1106	227	191
1107	227	210
1108	227	229
1109	227	243
1110	227	244
1111	227	310
1112	227	327
1113	227	359
1114	227	374
1115	227	381
1116	227	387
1117	228	202
1118	228	212
1119	228	213
1120	228	232
1121	228	233
1122	228	235
1123	228	240
1124	228	300
1125	228	322
1126	228	338
1127	228	340
1128	228	350
1129	228	358
1130	228	391
1131	229	206
1132	229	219
1133	229	227
1134	229	244
1135	229	246
1136	229	323
1137	229	352
1138	229	374
1139	229	387
1140	229	395
1141	229	407
1142	230	190
1143	230	210
1144	230	213
1145	230	240
1146	230	244
1147	230	247
1148	230	351
